east_m,north_m,ellipsoidal_height_m,orthometric_height_m,normal_east,normal_north,normal_up,surface_type,physical_material,water_mask,material_mask
5000.000,15000.000,333.784,288.534,-0.002431192,-0.000574998,0.999996879,terrain,grass,0,1
10000.000,15000.000,345.583,300.333,-0.002231594,-0.000574998,0.999997345,terrain,grass,0,1
15000.000,15000.000,356.100,310.850,-0.001944496,-0.000574999,0.999997944,terrain,grass,0,1
20000.000,15000.000,365.028,319.778,-0.001627998,-0.000574999,0.999998509,terrain,grass,0,1
25000.000,15000.000,372.380,327.130,-0.000735200,-0.000575000,0.999999564,terrain,grass,0,1
0.000,20000.000,324.218,278.968,-0.001251299,-0.000680599,0.999998986,terrain,grass,0,1
5000.000,20000.000,336.731,291.481,-0.002431192,-0.000680598,0.999996813,terrain,grass,0,1
10000.000,20000.000,348.530,303.280,-0.002231594,-0.000680598,0.999997278,water,water,1,2
15000.000,20000.000,359.047,313.797,-0.001944496,-0.000680599,0.999997878,water,water,1,2
20000.000,20000.000,367.975,322.725,-0.001627997,-0.000680599,0.999998443,terrain,grass,0,1
25000.000,20000.000,375.327,330.077,-0.000735200,-0.000680600,0.999999498,terrain,grass,0,1
0.000,25000.000,328.077,282.827,-0.001251298,-0.000912399,0.999998801,terrain,grass,0,1
5000.000,25000.000,340.590,295.340,-0.002431192,-0.000912297,0.999996629,terrain,grass,0,1
10000.000,25000.000,352.389,307.139,-0.002231594,-0.000912297,0.999997094,terrain,grass,0,1
15000.000,25000.000,362.906,317.656,-0.001944496,-0.000912398,0.999997693,terrain,grass,0,1
20000.000,25000.000,371.834,326.584,-0.001627997,-0.000912298,0.999998259,terrain,grass,0,1
25000.000,25000.000,379.186,333.936,-0.000735199,-0.000912299,0.999999314,terrain,grass,0,1
0.000,30000.000,333.342,288.092,-0.001251198,-0.001200498,0.999998497,terrain,grass,0,1
5000.000,30000.000,345.854,300.604,-0.002431091,-0.001200496,0.999996324,terrain,grass,0,1
10000.000,30000.000,357.653,312.403,-0.002231693,-0.001200496,0.999996789,terrain,grass,0,1
15000.000,30000.000,368.171,322.921,-0.001944495,-0.001200497,0.999997389,terrain,grass,0,1
20000.000,30000.000,377.098,331.848,-0.001627897,-0.001200498,0.999997954,terrain,grass,0,1
25000.000,30000.000,384.450,339.200,-0.000735199,-0.001200499,0.999999009,terrain,grass,0,1
0.000,35000.000,340.082,294.832,-0.001251298,-0.001458397,0.999998154,terrain,grass,0,1
5000.000,35000.000,352.595,307.345,-0.002431190,-0.001458494,0.999995981,terrain,grass,0,1
10000.000,35000.000,364.394,319.144,-0.002231592,-0.001458495,0.999996446,terrain,grass,0,1
15000.000,35000.000,374.911,329.661,-0.001944494,-0.001458396,0.999997046,terrain,grass,0,1
20000.000,35000.000,383.839,338.589,-0.001627996,-0.001458497,0.999997611,terrain,grass,0,1
25000.000,35000.000,391.191,345.941,-0.000735199,-0.001458498,0.999998666,terrain,grass,0,1
0.000,40000.000,347.926,302.676,-0.001251297,-0.001608597,0.999997923,terrain,grass,0,1
5000.000,40000.000,360.439,315.189,-0.002431190,-0.001608593,0.999995751,terrain,grass,0,1
10000.000,40000.000,372.238,326.988,-0.002231592,-0.001608594,0.999996216,terrain,grass,0,1
15000.000,40000.000,382.755,337.505,-0.001944494,-0.001608595,0.999996816,terrain,grass,0,1
20000.000,40000.000,391.683,346.433,-0.001627996,-0.001608596,0.999997381,terrain,grass,0,1
25000.000,40000.000,399.035,353.785,-0.000735199,-0.001608597,0.999998436,terrain,grass,0,1
0.000,45000.000,356.168,310.918,-0.001251297,-0.001605797,0.999997928,terrain,grass,0,1
5000.000,45000.000,368.681,323.431,-0.002431190,-0.001605693,0.999995756,terrain,grass,0,1
10000.000,45000.000,380.480,335.230,-0.002231592,-0.001605694,0.999996221,terrain,grass,0,1
15000.000,45000.000,390.997,345.747,-0.001944494,-0.001605795,0.999996820,terrain,grass,0,1
20000.000,45000.000,399.925,354.675,-0.001627996,-0.001605696,0.999997386,terrain,grass,0,1
25000.000,45000.000,407.277,362.027,-0.000735199,-0.001605797,0.999998440,terrain,grass,0,1
0.000,50000.000,363.984,318.734,-0.001251199,-0.000781599,0.999998912,terrain,grass,0,1
5000.000,50000.000,376.496,331.246,-0.002431092,-0.000781497,0.999996740,terrain,grass,0,1
10000.000,50000.000,388.295,343.045,-0.002231694,-0.000781498,0.999997204,terrain,grass,0,1
15000.000,50000.000,398.813,353.563,-0.001944496,-0.000781598,0.999997804,terrain,grass,0,1
20000.000,50000.000,407.740,362.490,-0.001627997,-0.000781499,0.999998369,terrain,grass,0,1
25000.000,50000.000,415.093,369.843,-0.000735300,-0.000781600,0.999999424,terrain,grass,0,1
